genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C13F5_Longread_bin.5	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	89.87	0.377	4 present	4 present	4 present	47	med
C13F5_Longread_bin.6	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	98.85	4.51		4 present	4 present	72	med
C13F5_Longread_bin.7	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	90.29	0.632		4 present	4 present	64	med
C13F5_Longread_bin.8	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.915		4 present	4 present	57	med
C13F5_Longread_bin.9	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88	4 present	4 present	4 present	55	med
C13F5_contig_704	1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.96	0.68	3 present	3 present	3 present	54	med
C13F5_contig_923	1	C13F5_contig_923	0.0	0.0				0	low
C13F5_contig_937	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	12.83	0.0	C13F5_contig_937_contig_937 (253108, 253194)	C13F5_contig_937_contig_937 (247947, 249477)	C13F5_contig_937_contig_937 (249985, 252876)	16	low
C13F5_subsampled_20Gb_Hybrid_bin.1	23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.915		C13F5_subsampled_20Gb_Hybrid_bin.1_NODE_6_length_976690_cov_26.518956 (1, 418)	4 present	54	med
C13F5_subsampled_20Gb_Hybrid_bin.10	320	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	91.03	0.0				44	med
C13F5_subsampled_20Gb_Hybrid_bin.11	156	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295	92.27	8.615				45	med
C13F5_subsampled_20Gb_Hybrid_bin.12	34	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__	90.15	0.041	C13F5_subsampled_20Gb_Hybrid_bin.12_NODE_395_length_122821_cov_3.994981 (78263, 78372)	C13F5_subsampled_20Gb_Hybrid_bin.12_NODE_395_length_122821_cov_3.994981 (81793, 83303)	C13F5_subsampled_20Gb_Hybrid_bin.12_NODE_395_length_122821_cov_3.994981 (78489, 81421)	47	high
C13F5_subsampled_20Gb_Hybrid_bin.13	185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__	82.74	0.671	2 present	C13F5_subsampled_20Gb_Hybrid_bin.13_NODE_1356_length_47022_cov_1.505147 (2, 1239)	C13F5_subsampled_20Gb_Hybrid_bin.13_NODE_1356_length_47022_cov_1.505147 (1766, 4674)	41	med
C13F5_subsampled_20Gb_Hybrid_bin.14	45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	73.13	5.369	C13F5_subsampled_20Gb_Hybrid_bin.14_NODE_1186_length_52406_cov_5.479630 (51692, 51798)			29	med
C13F5_subsampled_20Gb_Hybrid_bin.15	116	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	92.2	0.727	C13F5_subsampled_20Gb_Hybrid_bin.15_NODE_5112_length_14314_cov_1.796272 (276, 386)			25	med
C13F5_subsampled_20Gb_Hybrid_bin.16	37	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724	4 present	4 present	4 present	50	med
C13F5_subsampled_20Gb_Hybrid_bin.17	9	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.026	2 present	C13F5_subsampled_20Gb_Hybrid_bin.17_NODE_3_length_1420201_cov_42.269391 (1341666, 1343158)	2 present	40	med
C13F5_subsampled_20Gb_Hybrid_bin.18	83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	95.07	2.125				36	med
C13F5_subsampled_20Gb_Hybrid_bin.19	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	97.31	0.671	2 present		C13F5_subsampled_20Gb_Hybrid_bin.19_NODE_813_length_70901_cov_44.824737 (3, 1154)	42	med
C13F5_subsampled_20Gb_Hybrid_bin.2	321	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	96.54	2.109		C13F5_subsampled_20Gb_Hybrid_bin.2_NODE_762_length_73861_cov_9.590955 (26141, 27669)	C13F5_subsampled_20Gb_Hybrid_bin.2_NODE_762_length_73861_cov_9.590955 (28310, 31194)	49	med
C13F5_subsampled_20Gb_Hybrid_bin.20	102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	98.02	1.265		2 present	C13F5_subsampled_20Gb_Hybrid_bin.20_NODE_830_length_69408_cov_4.650060 (68551, 69408)	50	med
C13F5_subsampled_20Gb_Hybrid_bin.21	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	96.6	0.377	4 present	4 present	4 present	55	med
C13F5_subsampled_20Gb_Hybrid_bin.22	322	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	91.62	2.879				32	med
C13F5_subsampled_20Gb_Hybrid_bin.23	49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	100.0	3.935		4 present	C13F5_subsampled_20Gb_Hybrid_bin.23_NODE_270_length_161488_cov_18.509750 (115349, 118244)	64	med
C13F5_subsampled_20Gb_Hybrid_bin.24	314	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris	84.22	2.705	2 present	C13F5_subsampled_20Gb_Hybrid_bin.24_NODE_7193_length_10338_cov_1.830159 (7366, 8897)	C13F5_subsampled_20Gb_Hybrid_bin.24_NODE_7193_length_10338_cov_1.830159 (3951, 6778)	35	med
C13F5_subsampled_20Gb_Hybrid_bin.25	66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	3.639		2 present	4 present	53	med
C13F5_subsampled_20Gb_Hybrid_bin.26	265	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	97.36	4.746				43	med
C13F5_subsampled_20Gb_Hybrid_bin.27	262	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	87.1	1.812				28	med
C13F5_subsampled_20Gb_Hybrid_bin.28	13	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	96.37	0.026	2 present	C13F5_subsampled_20Gb_Hybrid_bin.28_NODE_161_length_237337_cov_10.929897 (2, 781)	2 present	57	med
C13F5_subsampled_20Gb_Hybrid_bin.29	15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	97.92	0.377	2 present			39	med
C13F5_subsampled_20Gb_Hybrid_bin.3	35	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223	C13F5_subsampled_20Gb_Hybrid_bin.3_NODE_451_length_112229_cov_7.210800 (5552, 5663)	C13F5_subsampled_20Gb_Hybrid_bin.3_NODE_1217_length_51398_cov_6.453888 (33624, 35131)	C13F5_subsampled_20Gb_Hybrid_bin.3_NODE_451_length_112229_cov_7.210800 (5769, 8659)	45	high
C13F5_subsampled_20Gb_Hybrid_bin.30	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377				47	med
C13F5_subsampled_20Gb_Hybrid_bin.31	213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	97.7	2.369				37	med
C13F5_subsampled_20Gb_Hybrid_bin.32	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88	3 present	2 present	3 present	53	med
C13F5_subsampled_20Gb_Hybrid_bin.33	81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003611805	93.21	1.504		4 present		49	med
C13F5_subsampled_20Gb_Hybrid_bin.34	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132				47	med
C13F5_subsampled_20Gb_Hybrid_bin.35	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.949	2 present	2 present	C13F5_subsampled_20Gb_Hybrid_bin.35_NODE_1247_length_50253_cov_8.760059 (41985, 44870)	52	med
C13F5_subsampled_20Gb_Hybrid_bin.36	23	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	96.48	0.699		C13F5_subsampled_20Gb_Hybrid_bin.36_NODE_180_length_225711_cov_3.835558 (74310, 75820)		42	med
C13F5_subsampled_20Gb_Hybrid_bin.37	38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	94.29	0.0	C13F5_subsampled_20Gb_Hybrid_bin.37_NODE_1438_length_44942_cov_9.915929 (44654, 44760)	C13F5_subsampled_20Gb_Hybrid_bin.37_NODE_1428_length_45144_cov_16.980109 (42822, 44349)		37	med
C13F5_subsampled_20Gb_Hybrid_bin.38	235	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp009917555	80.74	0.632				21	med
C13F5_subsampled_20Gb_Hybrid_bin.39	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	98.67	0.0				46	med
C13F5_subsampled_20Gb_Hybrid_bin.4	47	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	96.66	0.377	4 present	4 present	4 present	50	med
C13F5_subsampled_20Gb_Hybrid_bin.40	314	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	93.18	2.909				38	med
C13F5_subsampled_20Gb_Hybrid_bin.41	92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	87.19	2.241		C13F5_subsampled_20Gb_Hybrid_bin.41_NODE_1294_length_48712_cov_13.197046 (25787, 27315)	2 present	45	med
C13F5_subsampled_20Gb_Hybrid_bin.42	38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	98.1	2.215				57	med
C13F5_subsampled_20Gb_Hybrid_bin.43	220	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	79.26	4.026				35	med
C13F5_subsampled_20Gb_Hybrid_bin.44	203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	90.88	6.896		3 present	3 present	52	med
C13F5_subsampled_20Gb_Hybrid_bin.45	364	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	93.28	2.89				31	med
C13F5_subsampled_20Gb_Hybrid_bin.46	9	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	3 present	3 present	3 present	47	med
C13F5_subsampled_20Gb_Hybrid_bin.47	207	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	89.54	2.327				43	med
C13F5_subsampled_20Gb_Hybrid_bin.48	14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754	3 present		2 present	55	med
C13F5_subsampled_20Gb_Hybrid_bin.49	91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.73	0.0		C13F5_subsampled_20Gb_Hybrid_bin.49_NODE_1116_length_54959_cov_29.942982 (50921, 52449)	C13F5_subsampled_20Gb_Hybrid_bin.49_NODE_1116_length_54959_cov_29.942982 (53098, 54958)	62	med
C13F5_subsampled_20Gb_Hybrid_bin.5	152	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	96.43	1.532		2 present	C13F5_subsampled_20Gb_Hybrid_bin.5_NODE_276_length_158776_cov_8.475185 (53657, 56527)	50	med
C13F5_subsampled_20Gb_Hybrid_bin.50	183	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	92.1	2.013	2 present	2 present	2 present	48	med
C13F5_subsampled_20Gb_Hybrid_bin.51	34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265	93.96	0.503				52	med
C13F5_subsampled_20Gb_Hybrid_bin.52	209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	97.98	1.271		C13F5_subsampled_20Gb_Hybrid_bin.52_NODE_3604_length_19955_cov_10.180449 (2133, 3661)	C13F5_subsampled_20Gb_Hybrid_bin.52_NODE_3604_length_19955_cov_10.180449 (4357, 7265)	47	med
C13F5_subsampled_20Gb_Hybrid_bin.53	70	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	95.3	3.691	C13F5_subsampled_20Gb_Hybrid_bin.53_NODE_2113_length_32298_cov_32.728035 (32185, 32292)			37	med
C13F5_subsampled_20Gb_Hybrid_bin.54	203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	97.9	3.691				54	med
C13F5_subsampled_20Gb_Hybrid_bin.55	9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	99.43	1.509				55	med
C13F5_subsampled_20Gb_Hybrid_bin.56	162	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	94.02	0.788	C13F5_subsampled_20Gb_Hybrid_bin.56_NODE_12414_length_5582_cov_1.995988 (257, 357)			44	med
C13F5_subsampled_20Gb_Hybrid_bin.57	51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	97.92	0.377	2 present	2 present		53	med
C13F5_subsampled_20Gb_Hybrid_bin.58	99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	99.36	0.632		C13F5_subsampled_20Gb_Hybrid_bin.58_NODE_6935_length_10697_cov_37.837705 (453, 1981)	C13F5_subsampled_20Gb_Hybrid_bin.58_NODE_539_length_99328_cov_23.792470 (67206, 68477)	54	med
C13F5_subsampled_20Gb_Hybrid_bin.59	489	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris	91.07	7.553	C13F5_subsampled_20Gb_Hybrid_bin.59_NODE_4080_length_17819_cov_2.913149 (3587, 3679)	C13F5_subsampled_20Gb_Hybrid_bin.59_NODE_4080_length_17819_cov_2.913149 (7096, 8601)	C13F5_subsampled_20Gb_Hybrid_bin.59_NODE_4080_length_17819_cov_2.913149 (3828, 6780)	47	med
C13F5_subsampled_20Gb_Hybrid_bin.6	273	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	82.19	1.713				26	med
C13F5_subsampled_20Gb_Hybrid_bin.60	410	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	72.8	0.531				35	med
C13F5_subsampled_20Gb_Hybrid_bin.61	287	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	81.03	0.285				31	med
C13F5_subsampled_20Gb_Hybrid_bin.62	17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.24	0.377				47	med
C13F5_subsampled_20Gb_Hybrid_bin.63	134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	95.28	2.394		2 present	C13F5_subsampled_20Gb_Hybrid_bin.63_NODE_164_length_235951_cov_4.788579 (121040, 123860)	47	med
C13F5_subsampled_20Gb_Hybrid_bin.64	161	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.1	1.582	C13F5_subsampled_20Gb_Hybrid_bin.64_NODE_9293_length_7923_cov_11.140976 (22, 132)		C13F5_subsampled_20Gb_Hybrid_bin.64_NODE_9293_length_7923_cov_11.140976 (473, 3389)	49	med
C13F5_subsampled_20Gb_Hybrid_bin.65	258	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	93.85	1.364				47	med
C13F5_subsampled_20Gb_Hybrid_bin.66	214	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	74.9	4.026				22	med
C13F5_subsampled_20Gb_Hybrid_bin.67	16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	94.21	0.377	2 present			47	med
C13F5_subsampled_20Gb_Hybrid_bin.68	25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132	C13F5_subsampled_20Gb_Hybrid_bin.68_NODE_1980_length_34123_cov_57.155449 (33874, 33961)			51	med
C13F5_subsampled_20Gb_Hybrid_bin.69	33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	92.95	0.0	3 present	3 present	3 present	46	med
C13F5_subsampled_20Gb_Hybrid_bin.7	109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	94.14	2.298		C13F5_subsampled_20Gb_Hybrid_bin.7_NODE_2280_length_30119_cov_12.508794 (28177, 29712)	C13F5_subsampled_20Gb_Hybrid_bin.7_NODE_10714_length_6677_cov_24.420036 (4883, 6677)	45	med
C13F5_subsampled_20Gb_Hybrid_bin.70	110	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	96.49	0.966		4 present	2 present	54	med
C13F5_subsampled_20Gb_Hybrid_bin.71	1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	3 present	3 present	3 present	54	med
C13F5_subsampled_20Gb_Hybrid_bin.72	12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp009774455	99.42	1.532		4 present	4 present	55	med
C13F5_subsampled_20Gb_Hybrid_bin.73	215	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	97.85	4.249		2 present		38	med
C13F5_subsampled_20Gb_Hybrid_bin.74	112	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	94.37	0.891				45	med
C13F5_subsampled_20Gb_Hybrid_bin.75	88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485		5 present	5 present	66	med
C13F5_subsampled_20Gb_Hybrid_bin.76	88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.53	0.776	C13F5_subsampled_20Gb_Hybrid_bin.76_NODE_1771_length_37955_cov_5.297073 (35834, 35930)		C13F5_subsampled_20Gb_Hybrid_bin.76_NODE_1771_length_37955_cov_5.297073 (36160, 37954)	53	med
C13F5_subsampled_20Gb_Hybrid_bin.77	250	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	90.48	1.18				40	med
C13F5_subsampled_20Gb_Hybrid_bin.78	160	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	98.16	1.724		4 present	3 present	54	med
C13F5_subsampled_20Gb_Hybrid_bin.79	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0	2 present	2 present	2 present	43	med
C13F5_subsampled_20Gb_Hybrid_bin.8	336	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	92.97	4.908				37	med
C13F5_subsampled_20Gb_Hybrid_bin.80	241	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	93.58	2.873			C13F5_subsampled_20Gb_Hybrid_bin.80_NODE_1818_length_36894_cov_2.246582 (34765, 36894)	42	med
C13F5_subsampled_20Gb_Hybrid_bin.81	82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009917455	96.43	2.394			2 present	51	med
C13F5_subsampled_20Gb_Hybrid_bin.82	67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485	95.68	1.34		C13F5_subsampled_20Gb_Hybrid_bin.82_NODE_195_length_214581_cov_4.995179 (99006, 100531)	C13F5_subsampled_20Gb_Hybrid_bin.82_NODE_195_length_214581_cov_4.995179 (101121, 104051)	46	med
C13F5_subsampled_20Gb_Hybrid_bin.83	657	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	81.35	3.826				27	med
C13F5_subsampled_20Gb_Hybrid_bin.9	35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	98.1	0.0				51	med
C13F5_subsampled_20Gb_bin.1	533	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	95.06	2.267				48	med
C13F5_subsampled_20Gb_bin.10	730	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	91.54	4.764				39	med
C13F5_subsampled_20Gb_bin.11	38	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	96.37	0.026	2 present			41	med
C13F5_subsampled_20Gb_bin.12	51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	96.41	0.0				42	med
C13F5_subsampled_20Gb_bin.13	129	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485	93.86	1.34				43	med
C13F5_subsampled_20Gb_bin.14	60	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	98.42	0.0				38	med
C13F5_subsampled_20Gb_bin.16	25	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.026	C13F5_subsampled_20Gb_bin.16_NODE_174_length_128178_cov_46.651957 (247, 356)			37	med
C13F5_subsampled_20Gb_bin.17	107	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485				52	med
C13F5_subsampled_20Gb_bin.18	39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377				47	med
C13F5_subsampled_20Gb_bin.19	339	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	87.19	2.298				40	med
C13F5_subsampled_20Gb_bin.2	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0				41	med
C13F5_subsampled_20Gb_bin.20	45	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	94.21	0.377	C13F5_subsampled_20Gb_bin.20_NODE_824_length_54624_cov_24.761706 (54311, 54407)		C13F5_subsampled_20Gb_bin.20_NODE_17129_length_3196_cov_64.367452 (13, 2931)	46	med
C13F5_subsampled_20Gb_bin.21	184	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009917455	98.73	3.021				49	med
