genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
bin_m6.cct2_sub	481	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__				23
bin_m6.cct57	565	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	bin_m6.cct57_m6_025775 (1155, 1265)			29
bin_m6.cct59	258	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				33
bin_m6.mtb1	250	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	bin_m6.mtb1_m6_155778 (6454, 6551)	bin_m6.mtb1_m6_115566 (2474, 4006)	bin_m6.mtb1_m6_155778 (3366, 6296)	38
bin_m6.mtb114	61	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m6.mtb114_m6_116203 (262, 339)			29
bin_m6.mtb118	13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-557;s__				42
bin_m6.mtb171_sub	105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__		bin_m6.mtb171_sub_m6_005259 (27876, 28370)		46
bin_m6.mtb193	265	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				46
bin_m6.mtb194	100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				48
bin_m6.mtb199	322	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	bin_m6.mtb199_m6_019962 (214, 320)			26
bin_m6.mtb48	111	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present	bin_m6.mtb48_m6_031187 (3, 792)		49
bin_m6.mtb69	307	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				51
bin_m6.mtb70	134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				51
bin_m6.mtb89	284	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__				37
bin_m6.mtb96_sub	720	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__				25
bin_m6.mxb24	185	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			23
bin_m6.vmb104	180	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	bin_m6.vmb104_m6_072767 (16203, 16297)			35
bin_m6.vmb11	144	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-557;s__	2 present			35
bin_m6.vmb137	265	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__				32
bin_m6.vmb143	169	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__				7
bin_m6.vmb53	601	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__				42
bin_m6.vmb95_sub	530	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__				20
bin_m7.cct137_sub	34	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	bin_m7.cct137_sub_m7_031897 (26, 135)	2 present		48
bin_m7.cct53	244	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	9 present	bin_m7.cct53_m7_033167 (2, 459)		16
bin_m7.cct54	391	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii	4 present		bin_m7.cct54_m7_018209 (9381, 12280)	86
bin_m7.cct59	65	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RUG11792;f__;g__;s__	bin_m7.cct59_m7_020436 (785, 890)	bin_m7.cct59_m7_055997 (9210, 10692)		40
bin_m7.cct6	453	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__		bin_m7.cct6_m7_062473 (50763, 52308)	bin_m7.cct6_m7_062473 (52723, 54713)	51
bin_m7.cct69_sub	240	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__		bin_m7.cct69_sub_m7_011747 (68, 1580)	bin_m7.cct69_sub_m7_003745 (2, 1195)	3
bin_m7.mtb146	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	bin_m7.mtb146_m7_017608 (26572, 26666)			41
bin_m7.mtb33	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	2 present			32
bin_m7.mtb35	22	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	2 present	bin_m7.mtb35_m7_058227 (1, 834)		56
bin_m7.mtb36	31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__		bin_m7.mtb36_m7_005229 (196668, 197084)		47
bin_m7.mtb7	6	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5578;s__	bin_m7.mtb7_m7_050535 (1062988, 1063056)			37
bin_m7.mtb73	106	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	4 present			45
bin_m7.mxb61_sub	204	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	3 present		bin_m7.mxb61_sub_m7_081994 (645, 3580)	63
bin_m7.vmb113_sub	197	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__				55
bin_m7.vmb18	90	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans	6 present			53
bin_m7.vmb21	47	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			40
bin_m7.vmb22	84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__				43
bin_m7.vmb28	36	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	2 present	bin_m7.vmb28_m7_045616 (4242, 5790)	bin_m7.vmb28_m7_045616 (429, 3337)	35
bin_m7.vmb5	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__;s__	bin_m7.vmb5_m7_070146 (30181, 30286)		bin_m7.vmb5_m7_018514 (1, 2626)	43
bin_m7.vmb62_sub	423	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis		bin_m7.vmb62_sub_m7_072876 (1589, 2222)		20
bin_m7.vmb72	398	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	bin_m7.vmb72_m7_108072 (499, 598)			40
bin_m8.cct156	44	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	5 present			38
bin_m8.cct66	247	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	bin_m8.cct66_m8_015556 (8887, 8963)	bin_m8.cct66_m8_008483 (23673, 25198)		38
bin_m8.cct7	375	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	bin_m8.cct7_m8_107674 (497, 608)	bin_m8.cct7_m8_106934 (17164, 17955)		14
bin_m8.cct94	28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp009774735	2 present			38
bin_m8.mtb115_sub	421	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__				32
bin_m8.mtb129	37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA3830;f__UBA3830;g__;s__		bin_m8.mtb129_m8_088133 (3012, 4508)	2 present	44
bin_m8.mtb134	494	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	bin_m8.mtb134_m8_076765 (2358, 2467)	bin_m8.mtb134_m8_047876 (3859, 5387)	bin_m8.mtb134_m8_142833 (4801, 5797)	41
bin_m8.mtb135	34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	bin_m8.mtb135_m8_122687 (417, 518)			46
bin_m8.mtb157	128	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp002494015	3 present			43
bin_m8.mtb202	56	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__	6 present			51
bin_m8.mtb207	523	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__				44
bin_m8.mtb215	143	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	2 present			42
bin_m8.mtb55	756	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__				28
bin_m8.mtb71	379	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	2 present			31
bin_m8.mtb93	113	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	2 present			40
bin_m8.mtb96_sub	111	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				40
bin_m8.mtb97_sub	38	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA3830;f__UBA3830;g__CADBNZ01;s__		bin_m8.mtb97_sub_m8_162348 (1, 903)		42
bin_m8.mxb49_sub	38	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				14
bin_m8.vmb10	21	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA3830;f__UBA3830;g__;s__				43
bin_m8.vmb113	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__		bin_m8.vmb113_m8_019256 (1, 945)		40
bin_m8.vmb119	425	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	bin_m8.vmb119_m8_181086 (3347, 3456)			36
bin_m8.vmb163	77	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__				33
bin_m8.vmb26	198	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__				10
bin_m8.vmb30	419	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	3 present			36
bin_m8.vmb6	102	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__	3 present			43
bin_m8.vmb65	115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				49
bin_m8.vmb68	371	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__				31
bin_m9.cct137_sub	190	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				27
bin_m9.cct6	172	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			25
bin_m9.mtb127_sub	254	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__				8
bin_m9.mtb140	64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__				54
bin_m9.mtb16	138	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	3 present			34
bin_m9.vmb103	346	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus				0
bin_m9.vmb60	464	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__				12
